Assignee,Blockchain ecosystem,Date Created,Description,Impact Area,Logo,Name,preJan20th) Upvotes,Reviewed?,Submitted by (email),Submitted by (name),Submitted by owner?,Subscribed,Topic,Upvotes,Web3
https://www.dclimate.net/,Polygon,5/7/2022 11:03 AM,The First Decentralized Network for Climate Data,Infrastructure,2sruqkVw_400x400.png (https://v5.airtableusercontent.com/v1/15/15/1675389600000/6oi4Bz_Cmk7RMgm2MZ29sQ/g92MpugDwnbjE0FL7NyqPDQdHcwYC2A4sLWsDmTGOqpuA2bEwopg_n5lQlgGTTCf1XJzBAHudgdKjiIpZx9KVRCYvC5xxuXpJB-qy0fLxZY/3Onn1FZsNLeLjuzhDzxEvzpEqgkRlL0Bomx5RZi0hZk),dClimate.net,13,checked,,,,,"Data,MRV",0,Oracle
https://www.decentlabs.io/,Not applicable,5/7/2022 11:03 AM,"Decent Labs is accelerating the decentralized future, restoring power to individuals, and raising the bar for Web3 development.",Innovation,image.png (https://v5.airtableusercontent.com/v1/15/15/1675389600000/hMKpLOE4qM7eGEPMS-mvpg/CnAdAIti4PJEPC9H8naIC6joMN0IuLwXj1Vm4VfvyKKqDbXbpB24nf5a5iOOa7tCMAgzVmsmp2VcZ127m0mf1ad3FRJe86luJdbeKoht-OY/24tnyW7TAMF4F9NOlGOsnU35eXl5jRw1dcq5jLOUTh8),Decent Labs,0,checked,,,,,Consulting,0,
http://www.d33p.org/,,5/7/2022 11:03 AM,Decentralized Energy Exchange Platform,Energy,,Deep,0,checked,,,,,"Consulting,Payments",0,dApp
https://democracy.earth/,Ethereum,5/7/2022 11:03 AM,"Power in your hands. Tools for a borderless democracy. For everyone, anywhere.",Politics & activism,,"Democracy.Earth
",0,checked,,,,,"Identity,Legal",0,"Token,DAO,dApp"
https://digitalart4climate.space/,"Polkadot,Kusama",5/7/2022 11:03 AM,"ABOUTThe United Nations announced 2021 as the Year of Creative Economy for Sustainable Development to recognise the value of creativity as a powerful resource for sustainable development and climate action. DigitalArt4Climate in partnership with UN-Habitat is an initiative to accelerate that force.The DigitalArt4Climate is an unprecedented multi-stakeholder partnership initiative which uses blockchain technology to turn art into digital assets or NFTs, which can be collected and traded, thus opening up a socio-technological innovation space which helps to unlock extraordinary potential for resource mobilization and climate empowerment.",Carbon,,Digital Art4 Climate,0,checked,,,,,Art,0,NFT
https://doni.app/,Celo,5/7/2022 11:03 AM,"Doni is an outreach fundraising app dedicated to reinvent and nurture new living experiences for people, through the use of fundraising campaigns.",Social justice,,Doni,0,checked,,,,,Fundraising,0,dApp
https://dovu.earth/en/about-us/,"Hedera,Ethereum",5/7/2022 11:03 AM,"Dovu is building the trust layer for carbon offset integrity. They implement carbon sequestration practices to tokenise carbon credits. This makes it easy for organisations to offset their carbon footprints with carbon that’s sourced directly from farmers. Firstly, they can identify how much carbon they need to offset their footprints (using our Carbon Calculator). And then purchase offsets on the DOVU Carbon Market.",Carbon,,Dovu,0,checked,,,,,"Offsetting,Marketplace",0,dApp
https://earthdollar.org/home/about-us/,Polygon,5/7/2022 11:03 AM,"The Earth Dollar is a currency based on Love. Since Love is difficult to quantify, inground consisting of gold, silver, platinum, palladium, rhodium, natural capital assets, NFTs, etc. have been pledged by the Earth Wealth Fund to back the Earth Dollar",Nature,,Earth Dollar,0,checked,,,,,Commodities,0,Token
https://earthpositive.xyz/#about,Cosmos,5/7/2022 11:03 AM,"We donate staking revenue to regenerative projects through our partnership with The Amber Initiative, a crypto-based small project fund.",Carbon,earth+.jpeg (https://v5.airtableusercontent.com/v1/15/15/1675389600000/YA2TqyzgXxUD3CLG1THwMQ/UNsluBHzChbFTGhiCLoeHW5JBK2dblgztS58cvyweKKf4llSl-72wMxmepQdf2qWDaivoh1FEMe6FSiIZNWNgorD-b4F_TTmYK52pax2OhY/pTshxr53UIighTlhaEvG2R1bHOXwqdFu-MoQvRZhKYU),Earth+,3,checked,,,,,"Charity,Reward",0,Token
https://earthfund.io/,Ethereum,5/7/2022 11:03 AM,"A low-fee giving platform, for big ideas that could save the planet, built on the blockchain, governed by our DAO and powered by the 1Earth token. ",Nature,EARTHFUND.jpeg (https://v5.airtableusercontent.com/v1/15/15/1675389600000/RKSvSVuh7Y2JacZHkW4ECg/DhfIi5PZ8w1Xi1EhC-97OMoexsOBn6jQbKl7MI78Kmuv-Bh07tezy3-XIGAeE0q7SE46rrQ94Es5ycyUhBpkx-6R7moot36fQ2W5OU7YJVo/luiJfSojb4OKyYguXCODyt1CrKJejG4gFeP4ByKHn4o),Earthfund,3,checked,,,,,Fundraising,0,"dApp,DAO"
https://www.ecocoin.com/,,5/7/2022 11:03 AM,You can earn ECO coins by taking actions that contribute towards a sustainable future.,Industry,,Ecocoin,0,checked,,,,,"Local,Payments",0,Token
https://efforce.io/project,Ethereum,5/7/2022 11:03 AM,The first blockchain-based energy-saving platform. Efforce is the first platform that allows contributors to benefit from the energy savings generated by energy efficiency projects worldwide,Energy,,Efforce,2,checked,,,,,Offsetting,0,"dApp,Token"
